//PlaneVertxData 100
15
0 -1.0 1.0 0.5 1.0 0.0 0.0 1.0		//R
1  0.0 1.0 0.5 0.0 1.0 0.0 1.0		//G
2 -1.0 0.0 0.5 0.0 0.0 1.0 1.0		//B
3 -1.0 0.0 0.5 1.0 0.0 0.0 1.0		//R
4 0.0 1.0 0.5 0.0 1.0 0.0 0.0		//G
5 -1.0 -1.0 0.5 0.0 0.0 1.0 1.0		//B
6 -1.0 -1.0 0.5 1.0 0.0 0.0 1.0		//R
7 -0.5 1.0 0.5 0.0 1.0 0.0 1.0		//G
8 0.0 0.0 0.5 0.0 0.0 1.0 1.0		//B
9 -1.0 0.0 0.5 1.0 0.0 0.0 1.0		//R
10 0.0 1.0 0.5 0.0 1.0 0.0 0.0		//G
11 0.0 0.0 0.5 0.0 0.0 1.0 1.0		//B
12 -1.0 0.0 0.5 1.0 0.0 0.0 1.0		//R
13 0.0 1.0 0.5 0.0 1.0 0.0 0.0		//G
14 0.0 0.0 0.5 0.0 0.0 1.0 1.0		//B







18
0 -1.0 1.0 0.5 1.0 0.0 0.0 1.0		//R
1  0.0 1.0 0.5 0.0 1.0 0.0 1.0		//G
2 -1.0 0.0 0.5 0.0 0.0 1.0 1.0		//B
3 -1.0 0.0 0.5 1.0 0.0 0.0 1.0		//R
4 0.0 1.0 0.5 0.0 1.0 0.0 0.0		//G
5 -1.0 -1.0 0.5 0.0 0.0 1.0 1.0		//B
6 -1.0 -1.0 0.5 1.0 0.0 0.0 1.0		//R
7  0.0 1.0 0.5 0.0 1.0 0.0 1.0		//G
8 1.0 1.0 0.5 0.0 0.0 1.0 1.0		//B
9 -1.0 -1.0 0.5 1.0 0.0 0.0 1.0		//R
10 1.0 1.0 0.5 0.0 1.0 0.0 1.0		//G
11 0.0 -1.0 0.5 0.0 0.0 1.0 1.0		//B
12 0.0 -1.0 0.5 1.0 0.0 0.0 1.0		//R
13 1.0 1.0 0.5 0.0 1.0 0.0 1.0		//G
14 1.0 -1.0 0.5 0.0 0.0 1.0 1.0		//B
15 0.0 -1.0 0.5 1.0 0.0 0.0 1.0		//R
16 1.0 0.0 0.5 0.0 1.0 0.0 1.0		//G
17 1.0 -1.0 0.5 0.0 0.0 1.0 1.0		//B






15
0 -1.0 1.0 0.5 1.0 0.0 0.0 1.0		//R
1  0.0 1.0 0.5 0.0 1.0 0.0 1.0		//G
2 -1.0 -1.0 0.5 0.0 0.0 1.0 1.0		//B
3 -1.0 -1.0 0.5 1.0 0.0 0.0 1.0		//R
4 0.0 1.0 0.5 0.0 1.0 0.0 0.0		//G
5 1.0 1.0 0.5 0.0 0.0 1.0 1.0		//B
6 -1.0 -1.0 0.5 1.0 0.0 0.0 1.0		//R
7  1.0 1.0 0.5 0.0 1.0 0.0 1.0		//G
8 0.0 -1.0 0.5 0.0 0.0 1.0 1.0		//B
9 0.0 -1.0 0.5 1.0 0.0 0.0 1.0		//R
10 1.0 1.0 0.5 0.0 1.0 0.0 0.0		//G
11 1.0 0.0 0.5 0.0 0.0 1.0 1.0		//B
12 0.0 -1.0 0.5 1.0 0.0 0.0 1.0		//R
13 1.0 0.0 0.5 0.0 1.0 0.0 0.0		//G
14 1.0 -1.0 0.5 0.0 0.0 1.0 1.0		//B


